batch,time_point,locus_id,pair_class,count_t,chrom,midpoint,y,chr_len,pos_mb,total_by_time,pct_of_time,time_label
4,0,4_L13,TRANS,755,IV,713166.5,4,1531933,0.7131665,966689,0.07810164385857292,T0
4,0,15_L15,TRANS,743,XV,538556,15,1091291,0.538556,966689,0.07686029322770818,T0
4,0,15_L01,TRANS,717,XV,321702.5,15,1091291,0.3217025,966689,0.07417070019416792,T0
4,0,7_L03,TRANS,585,VII,425184,7,1090940,0.425184,966689,0.06051584325465584,T0
4,0,12_L05,TRANS,581,XII,5947,12,1078177,0.005947,966689,0.060102059711034266,T0
4,0,12_L07,TRANS,522,XII,243617,12,1078177,0.243617,966689,0.05399875244261598,T0
4,0,15_L17_2,TRANS,503,XV,756300,15,1091291,0.7563,966689,0.052033280610413485,T0
4,0,12_L01,TRANS,400,XII,121861,12,1078177,0.121861,966689,0.04137835436215784,T0
4,0,4_L15_2,TRANS,378,IV,1120420.5,4,1531933,1.1204205,966689,0.03910254487223916,T0
4,0,7_L06,TRANS,298,VII,248317.5,7,1090940,0.2483175,966689,0.030826873999807592,T0
4,0,3_L03,TRANS,251,III,130512.5,3,316620,0.1305125,966689,0.025964917362254043,T0
4,0,15_L04,CIS,126,XV,240148.5,15,1091291,0.2401485,966689,0.013034181624079719,T0
4,0,15_L18,TRANS,110,XV,906017.5,15,1091291,0.9060175,966689,0.011379047449593406,T0
4,0,15_L04,TRANS,20,XV,240148.5,15,1091291,0.2401485,966689,0.002068917718107892,T0
4,120,3_L04,CIS,118932,III,291487.5,3,316620,0.2914875,724927,16.406065714202946,T120
4,120,4_L10_2,CIS,52659,IV,492439.5,4,1531933,0.4924395,724927,7.264041758687426,T120
4,120,3_L02,CIS,51606,III,37725.5,3,316620,0.0377255,724927,7.118785753600018,T120
4,120,7_L06,CIS,40193,VII,248317.5,7,1090940,0.2483175,724927,5.544420334737153,T120
4,120,4_L12_2,CIS,39176,IV,914120,4,1531933,0.91412,724927,5.40413034691769,T120
4,120,15_L01,CIS,33348,XV,321702.5,15,1091291,0.3217025,724927,4.600187329206941,T120
4,120,15_L17_2,CIS,32328,XV,756300,15,1091291,0.7563,724927,4.459483506615149,T120
4,120,12_L05,CIS,31343,XII,5947,12,1078177,0.005947,724927,4.323607756367193,T120
4,120,12_L12,CIS,29733,XII,949729,12,1078177,0.949729,724927,4.101516428550736,T120
4,120,4_L15_2,CIS,29640,IV,1120420.5,4,1531933,1.1204205,724927,4.088687550608544,T120
4,120,4_L03,CIS,29435,IV,130204,4,1531933,0.130204,724927,4.060408841166076,T120
4,120,4_L06_2,CIS,25982,IV,245056.5,4,1531933,0.2450565,724927,3.584085018215627,T120
4,120,7_L09,CIS,24621,VII,84569,7,1090940,0.084569,724927,3.3963419765024616,T120
4,120,12_L07,CIS,24542,XII,243617,12,1078177,0.243617,724927,3.385444327497803,T120
4,120,4_L01,CIS,24400,IV,8248,4,1531933,0.008248,724927,3.36585614827424,T120
4,120,7_L03,CIS,24008,VII,425184,7,1090940,0.425184,724927,3.311781738023277,T120
4,120,15_L15,CIS,21709,XV,538556,15,1091291,0.538556,724927,2.9946463574953066,T120
4,120,12_L01,CIS,20467,XII,121861,12,1078177,0.121861,724927,2.823318761751183,T120
4,120,4_L13,CIS,17661,IV,713166.5,4,1531933,0.7131665,724927,2.4362453046996455,T120
4,120,3_L03,CIS,7565,III,130512.5,3,316620,0.1305125,724927,1.043553350889124,T120
4,120,15_L18,CIS,5854,XV,906017.5,15,1091291,0.9060175,724927,0.8075295857375984,T120
4,120,3_L04,TRANS,5172,III,291487.5,3,316620,0.2914875,724927,0.7134511474948512,T120
4,120,4_L01,TRANS,4982,IV,8248,4,1531933,0.008248,724927,0.6872416119140272,T120
4,120,4_L12_2,TRANS,3352,IV,914120,4,1531933,0.91412,724927,0.4623913856153792,T120
4,120,7_L06,TRANS,3207,VII,248317.5,7,1090940,0.2483175,724927,0.4423893716194872,T120
4,120,12_L12,TRANS,3133,XII,949729,12,1078177,0.949729,724927,0.4321814472353768,T120
4,120,4_L06_2,TRANS,2808,IV,245056.5,4,1531933,0.2450565,724927,0.3873493468997568,T120
4,120,4_L03,TRANS,1995,IV,130204,4,1531933,0.130204,724927,0.275200123598652,T120
4,120,15_L17_2,TRANS,1917,XV,756300,15,1091291,0.7563,724927,0.2644404195181032,T120
4,120,15_L01,TRANS,1911,XV,321702.5,15,1091291,0.3217025,724927,0.2636127499734456,T120
4,120,3_L02,TRANS,1864,III,37725.5,3,316620,0.0377255,724927,0.2571293385402944,T120
4,120,15_L15,TRANS,1352,XV,538556,15,1091291,0.538556,724927,0.1865015373961792,T120
4,120,4_L10_2,TRANS,1327,IV,492439.5,4,1531933,0.4924395,724927,0.1830529142934392,T120
4,120,12_L01,TRANS,1201,XII,121861,12,1078177,0.121861,724927,0.1656718538556296,T120
4,120,4_L15_2,TRANS,1193,IV,1120420.5,4,1531933,1.1204205,724927,0.1645682944627528,T120
4,120,7_L09,TRANS,1148,VII,84569,7,1090940,0.084569,724927,0.1583607728778208,T120
4,120,7_L03,TRANS,928,VII,425184,7,1090940,0.425184,724927,0.1280128895737088,T120
4,120,4_L13,TRANS,714,IV,713166.5,4,1531933,0.7131665,724927,0.0984926758142544,T120
4,120,12_L07,TRANS,650,XII,243617,12,1078177,0.243617,724927,0.08966420067124001,T120
4,120,12_L05,TRANS,571,XII,5947,12,1078177,0.005947,724927,0.0787665516665816,T120
4,120,3_L03,TRANS,168,III,130512.5,3,316620,0.1305125,724927,0.0231747472504128,T120
4,120,15_L04,CIS,70,XV,240148.5,15,1091291,0.2401485,724927,0.009656144687672,T120
4,120,15_L18,TRANS,43,XV,906017.5,15,1091291,0.9060175,724927,0.0059316317367128,T120
4,120,15_L04,TRANS,19,XV,240148.5,15,1091291,0.2401485,724927,0.0026209535580824,T120
6,0,3_L04,CIS,53103,III,291487.5,3,316620,0.2914875,212591,24.97895019074185,T0
6,0,12_L05,CIS,16430,XII,5947,12,1078177,0.005947,212591,7.728455108635831,T0
6,0,3_L02,CIS,13000,III,37725.5,3,316620,0.0377255,212591,6.115028387843323,T0
6,0,4_L12_2,CIS,9028,IV,914120,4,1531933,0.91412,212591,4.246652021957655,T0
6,0,15_L17_2,CIS,8871,XV,756300,15,1091291,0.7563,212591,4.172801294504471,T0
6,0,15_L01,CIS,8153,XV,321702.5,15,1091291,0.3217025,212591,3.8350635727758937,T0
6,0,4_L03,CIS,8115,IV,130204,4,1531933,0.130204,212591,3.8171888744114284,T0
6,0,7_L09,CIS,7786,VII,84569,7,1090940,0.084569,212591,3.662431617519086,T0
6,0,4_L01,CIS,7667,IV,8248,4,1531933,0.008248,212591,3.606455588430366,T0
6,0,4_L10_2,CIS,7586,IV,492439.5,4,1531933,0.4924395,212591,3.568354257706112,T0
6,0,4_L06_2,CIS,7577,IV,245056.5,4,1531933,0.2450565,212591,3.5641207765145277,T0
6,0,4_L15_2,CIS,7354,IV,1120420.5,4,1531933,1.1204205,212591,3.459224520323062,T0
6,0,12_L01,CIS,7225,XII,121861,12,1078177,0.121861,212591,3.3985446232436933,T0
6,0,15_L15,CIS,6810,XV,538556,15,1091291,0.538556,212591,3.203334101631772,T0
6,0,12_L07,CIS,6293,XII,243617,12,1078177,0.243617,212591,2.9601441265152335,T0
6,0,12_L12,CIS,5948,XII,949729,12,1078177,0.949729,212591,2.7978606808378528,T0
6,0,7_L06,CIS,5865,VII,248317.5,7,1090940,0.2483175,212591,2.7588185765154685,T0
6,0,3_L03,CIS,5431,III,130512.5,3,316620,0.1305125,212591,2.5546707057213145,T0
6,0,4_L13,CIS,4764,IV,713166.5,4,1531933,0.7131665,212591,2.240922710745046,T0
6,0,7_L03,CIS,3925,VII,425184,7,1090940,0.425184,212591,1.8462681863296189,T0
6,0,3_L04,TRANS,2663,III,291487.5,3,316620,0.2914875,212591,1.2526400459097515,T0
6,0,15_L18,CIS,1264,XV,906017.5,15,1091291,0.9060175,212591,0.594568914017997,T0
6,0,3_L02,TRANS,1028,III,37725.5,3,316620,0.0377255,212591,0.4835576294386874,T0
6,0,12_L12,TRANS,837,XII,949729,12,1078177,0.949729,212591,0.39371375081729704,T0
6,0,7_L09,TRANS,578,VII,84569,7,1090940,0.084569,212591,0.27188356985949547,T0
6,0,4_L06_2,TRANS,571,IV,245056.5,4,1531933,0.2450565,212591,0.26859086226604134,T0
6,0,15_L17_2,TRANS,569,XV,756300,15,1091291,0.7563,212591,0.2676500886679116,T0
6,0,4_L01,TRANS,466,IV,8248,4,1531933,0.008248,212591,0.2192002483642299,T0
6,0,15_L15,TRANS,449,XV,538556,15,1091291,0.538556,212591,0.2112036727801271,T0
6,0,4_L13,TRANS,428,IV,713166.5,4,1531933,0.7131665,212591,0.20132554999976482,T0
6,0,12_L07,TRANS,360,XII,243617,12,1078177,0.243617,212591,0.16933924766335356,T0
6,0,4_L03,TRANS,318,IV,130204,4,1531933,0.130204,212591,0.14958300210262898,T0
6,0,7_L03,TRANS,318,VII,425184,7,1090940,0.425184,212591,0.14958300210262898,T0
6,0,4_L15_2,TRANS,306,IV,1120420.5,4,1531933,1.1204205,212591,0.14393836051385053,T0
6,0,12_L01,TRANS,304,XII,121861,12,1078177,0.121861,212591,0.1429975869157208,T0
6,0,15_L01,TRANS,284,XV,321702.5,15,1091291,0.3217025,212591,0.13358985093442338,T0
6,0,12_L05,TRANS,262,XII,5947,12,1078177,0.005947,212591,0.12324134135499622,T0
6,0,3_L03,TRANS,215,III,130512.5,3,316620,0.1305125,212591,0.10113316179894727,T0
6,0,4_L10_2,TRANS,146,IV,492439.5,4,1531933,0.4924395,212591,0.06867647266347117,T0
6,0,7_L06,TRANS,118,VII,248317.5,7,1090940,0.2483175,212591,0.05550564228965478,T0
6,0,4_L12_2,TRANS,111,IV,914120,4,1531933,0.91412,212591,0.05221293469620068,T0
6,0,15_L18,TRANS,39,XV,906017.5,15,1091291,0.9060175,212591,0.01834508516352997,T0
6,0,15_L04,CIS,21,XV,240148.5,15,1091291,0.2401485,212591,0.009878122780362292,T0
6,0,15_L04,TRANS,5,XV,240148.5,15,1091291,0.2401485,212591,0.002351933995324355,T0
6,120,3_L04,CIS,52199,III,291487.5,3,316620,0.2914875,154600,33.76390685640362,T120
6,120,12_L05,CIS,14670,XII,5947,12,1078177,0.005947,154600,9.489003880983182,T120
6,120,4_L12_2,CIS,7222,IV,914120,4,1531933,0.91412,154600,4.671410090556274,T120
6,120,15_L01,CIS,7163,XV,321702.5,15,1091291,0.3217025,154600,4.633247089262613,T120
6,120,4_L10_2,CIS,6551,IV,492439.5,4,1531933,0.4924395,154600,4.23738680465718,T120
6,120,3_L02,CIS,6307,III,37725.5,3,316620,0.0377255,154600,4.079560155239327,T120
6,120,4_L15_2,CIS,6096,IV,1120420.5,4,1531933,1.1204205,154600,3.943078913324709,T120
6,120,7_L06,CIS,5003,VII,248317.5,7,1090940,0.2483175,154600,3.236093143596378,T120
6,120,15_L17_2,CIS,4446,XV,756300,15,1091291,0.7563,154600,2.8758085381630014,T120
6,120,3_L03,CIS,4250,III,130512.5,3,316620,0.1305125,154600,2.7490297542043987,T120
6,120,4_L06_2,CIS,4013,IV,245056.5,4,1531933,0.2450565,154600,2.595730918499353,T120
6,120,12_L07,CIS,3956,XII,243617,12,1078177,0.243617,154600,2.558861578266494,T120
6,120,3_L04,TRANS,3709,III,291487.5,3,316620,0.2914875,154600,2.3990944372574385,T120
6,120,12_L01,CIS,3548,XII,121861,12,1078177,0.121861,154600,2.294954721862872,T120
6,120,4_L01,CIS,3547,IV,8248,4,1531933,0.008248,154600,2.294307891332471,T120
6,120,15_L15,CIS,2966,XV,538556,15,1091291,0.538556,154600,1.9184993531694696,T120
6,120,12_L12,CIS,2612,XII,949729,12,1078177,0.949729,154600,1.6895213454075033,T120
6,120,4_L13,CIS,2599,IV,713166.5,4,1531933,0.7131665,154600,1.6811125485122898,T120
6,120,7_L09,CIS,2124,VII,84569,7,1090940,0.084569,154600,1.3738680465717983,T120
6,120,7_L03,CIS,1683,VII,425184,7,1090940,0.425184,154600,1.0886157826649419,T120
6,120,4_L03,CIS,1557,IV,130204,4,1531933,0.130204,154600,1.0071151358344115,T120
6,120,4_L12_2,TRANS,1288,IV,914120,4,1531933,0.91412,154600,0.833117723156533,T120
6,120,15_L01,TRANS,974,XV,321702.5,15,1091291,0.3217025,154600,0.630012936610608,T120
6,120,4_L15_2,TRANS,852,IV,1120420.5,4,1531933,1.1204205,154600,0.5510996119016818,T120
6,120,3_L03,TRANS,814,III,130512.5,3,316620,0.1305125,154600,0.5265200517464425,T120
6,120,4_L10_2,TRANS,607,IV,492439.5,4,1531933,0.4924395,154600,0.3926261319534282,T120
6,120,15_L18,CIS,566,XV,906017.5,15,1091291,0.9060175,154600,0.36610608020698576,T120
6,120,15_L17_2,TRANS,473,XV,756300,15,1091291,0.7563,154600,0.30595084087968955,T120
6,120,4_L13,TRANS,471,IV,713166.5,4,1531933,0.7131665,154600,0.30465717981888746,T120
6,120,12_L05,TRANS,385,XII,5947,12,1078177,0.005947,154600,0.24902975420439843,T120
6,120,7_L06,TRANS,325,VII,248317.5,7,1090940,0.2483175,154600,0.21021992238033635,T120
6,120,7_L09,TRANS,292,VII,84569,7,1090940,0.084569,154600,0.1888745148771022,T120
6,120,12_L01,TRANS,206,XII,121861,12,1078177,0.121861,154600,0.1332470892626132,T120
6,120,12_L12,TRANS,194,XII,949729,12,1078177,0.949729,154600,0.12548512289780078,T120
6,120,12_L07,TRANS,189,XII,243617,12,1078177,0.243617,154600,0.1222509702457956,T120
6,120,15_L15,TRANS,169,XV,538556,15,1091291,0.538556,154600,0.1093143596377749,T120
6,120,7_L03,TRANS,154,VII,425184,7,1090940,0.425184,154600,0.09961190168175937,T120
6,120,3_L02,TRANS,130,III,37725.5,3,316620,0.0377255,154600,0.08408796895213454,T120
6,120,4_L06_2,TRANS,105,IV,245056.5,4,1531933,0.2450565,154600,0.06791720569210867,T120
6,120,4_L01,TRANS,87,IV,8248,4,1531933,0.008248,154600,0.05627425614489004,T120
6,120,4_L03,TRANS,59,IV,130204,4,1531933,0.130204,154600,0.03816300129366106,T120
6,120,15_L04,CIS,34,XV,240148.5,15,1091291,0.2401485,154600,0.02199223803363519,T120
6,120,15_L18,TRANS,4,XV,906017.5,15,1091291,0.9060175,154600,0.00258732212160414,T120
6,120,15_L04,TRANS,1,XV,240148.5,15,1091291,0.2401485,154600,6.46830530401035e-4,T120
8,0,3_L04,CIS,18031,III,291487.5,3,316620,0.2914875,162539,11.093337598976246,T0
8,0,4_L03,CIS,11631,IV,130204,4,1531933,0.130204,162539,7.155821064482986,T0
8,0,15_L01,CIS,11406,XV,321702.5,15,1091291,0.3217025,162539,7.0173927488172065,T0
8,0,3_L02,CIS,11179,III,37725.5,3,316620,0.0377255,162539,6.8777339592344,T0
8,0,7_L06,CIS,9969,VII,248317.5,7,1090940,0.2483175,162539,6.1332972394317675,T0
8,0,12_L12,CIS,9546,XII,949729,12,1078177,0.949729,162539,5.873052005980103,T0
8,0,4_L10_2,CIS,7176,IV,492439.5,4,1531933,0.4924395,162539,4.414940414300568,T0
8,0,12_L01,CIS,7155,XII,121861,12,1078177,0.121861,162539,4.402020438171762,T0
8,0,7_L09,CIS,7128,VII,84569,7,1090940,0.084569,162539,4.385409040291869,T0
8,0,3_L03,CIS,6951,III,130512.5,3,316620,0.1305125,162539,4.2765120986347895,T0
8,0,7_L03,CIS,6351,VII,425184,7,1090940,0.425184,162539,3.907369923526046,T0
8,0,4_L01,CIS,6025,IV,8248,4,1531933,0.008248,162539,3.706802675050296,T0
8,0,4_L12_2,CIS,5884,IV,914120,4,1531933,0.91412,162539,3.620054263899741,T0
8,0,4_L06_2,CIS,5507,IV,245056.5,4,1531933,0.2450565,162539,3.3881099305397475,T0
8,0,4_L13,CIS,5237,IV,713166.5,4,1531933,0.7131665,162539,3.221995951740813,T0
8,0,12_L07,CIS,4925,XII,243617,12,1078177,0.243617,162539,3.0300420206842666,T0
8,0,15_L17_2,CIS,4079,XV,756300,15,1091291,0.7563,162539,2.5095515537809385,T0
8,0,4_L15_2,CIS,3975,IV,1120420.5,4,1531933,1.1204205,162539,2.4455669100954234,T0
8,0,15_L15,CIS,3935,XV,538556,15,1091291,0.538556,162539,2.4209574317548403,T0
8,0,12_L12,TRANS,3499,XII,949729,12,1078177,0.949729,162539,2.152714117842487,T0
8,0,12_L05,CIS,2998,XII,5947,12,1078177,0.005947,162539,1.8444804016266865,T0
8,0,3_L04,TRANS,1642,III,291487.5,3,316620,0.2914875,162539,1.010219085880927,T0
8,0,3_L02,TRANS,1301,III,37725.5,3,316620,0.0377255,162539,0.800423283027458,T0
8,0,4_L13,TRANS,844,IV,713166.5,4,1531933,0.7131665,162539,0.5192599929862987,T0
8,0,7_L09,TRANS,687,VII,84569,7,1090940,0.084569,162539,0.42266779049951086,T0
8,0,15_L01,TRANS,680,XV,321702.5,15,1091291,0.3217025,162539,0.41836113178990886,T0
8,0,7_L03,TRANS,603,VII,425184,7,1090940,0.425184,162539,0.37098788598428684,T0
8,0,12_L07,TRANS,600,XII,243617,12,1078177,0.243617,162539,0.36914217510874314,T0
8,0,15_L18,CIS,507,XV,906017.5,15,1091291,0.9060175,162539,0.3119251379668879,T0
8,0,4_L03,TRANS,367,IV,130204,4,1531933,0.130204,162539,0.2257919637748479,T0
8,0,15_L15,TRANS,329,XV,538556,15,1091291,0.538556,162539,0.20241295935129416,T0
8,0,7_L06,TRANS,314,VII,248317.5,7,1090940,0.2483175,162539,0.19318440497357559,T0
8,0,3_L03,TRANS,296,III,130512.5,3,316620,0.1305125,162539,0.18211013972031329,T0
8,0,4_L06_2,TRANS,280,IV,245056.5,4,1531933,0.2450565,162539,0.17226634838408011,T0
8,0,4_L10_2,TRANS,268,IV,492439.5,4,1531933,0.4924395,162539,0.16488350488190526,T0
8,0,4_L12_2,TRANS,249,IV,914120,4,1531933,0.91412,162539,0.1531940026701284,T0
8,0,15_L17_2,TRANS,212,XV,756300,15,1091291,0.7563,162539,0.13043023520508923,T0
8,0,4_L01,TRANS,207,IV,8248,4,1531933,0.008248,162539,0.12735405041251638,T0
8,0,4_L15_2,TRANS,195,IV,1120420.5,4,1531933,1.1204205,162539,0.11997120691034152,T0
8,0,12_L05,TRANS,178,XII,5947,12,1078177,0.005947,162539,0.1095121786155938,T0
8,0,12_L01,TRANS,164,XII,121861,12,1078177,0.121861,162539,0.10089886119638979,T0
8,0,15_L04,CIS,21,XV,240148.5,15,1091291,0.2401485,162539,0.012919976128806009,T0
8,0,15_L04,TRANS,4,XV,240148.5,15,1091291,0.2401485,162539,0.0024609478340582875,T0
8,0,15_L18,TRANS,4,XV,906017.5,15,1091291,0.9060175,162539,0.0024609478340582875,T0
8,120,3_L02,CIS,19525,III,37725.5,3,316620,0.0377255,97897,19.944431392177492,T120
8,120,4_L12_2,CIS,9932,IV,914120,4,1531933,0.91412,97897,10.145356854653361,T120
8,120,4_L03,CIS,9900,IV,130204,4,1531933,0.130204,97897,10.11266943828718,T120
8,120,15_L01,CIS,7690,XV,321702.5,15,1091291,0.3217025,97897,7.855194745497819,T120
8,120,15_L15,CIS,7147,XV,538556,15,1091291,0.538556,97897,7.300530149034189,T120
8,120,4_L10_2,CIS,7000,IV,492439.5,4,1531933,0.4924395,97897,7.150372330102046,T120
8,120,4_L06_2,CIS,6796,IV,245056.5,4,1531933,0.2450565,97897,6.941990050767644,T120
8,120,12_L05,CIS,6311,XII,5947,12,1078177,0.005947,97897,6.446571396467716,T120
8,120,4_L01,CIS,6149,IV,8248,4,1531933,0.008248,97897,6.2810913511139255,T120
8,120,4_L15_2,CIS,4637,IV,1120420.5,4,1531933,1.1204205,97897,4.736610927811884,T120
8,120,3_L02,TRANS,1380,III,37725.5,3,316620,0.0377255,97897,1.4096448307915461,T120
8,120,4_L03,TRANS,1368,IV,130204,4,1531933,0.130204,97897,1.3973870496542284,T120
8,120,12_L01,CIS,973,XII,121861,12,1078177,0.121861,97897,0.9939017538841844,T120
8,120,12_L12,CIS,971,XII,949729,12,1078177,0.949729,97897,0.9918587903612981,T120
8,120,15_L15,TRANS,962,XV,538556,15,1091291,0.538556,97897,0.9826654545083098,T120
8,120,15_L01,TRANS,930,XV,321702.5,15,1091291,0.3217025,97897,0.949978038142129,T120
8,120,4_L06_2,TRANS,753,IV,245056.5,4,1531933,0.2450565,97897,0.7691757663666915,T120
8,120,3_L04,CIS,643,III,291487.5,3,316620,0.2914875,97897,0.6568127726079451,T120
8,120,12_L07,CIS,643,XII,243617,12,1078177,0.243617,97897,0.6568127726079451,T120
8,120,4_L10_2,TRANS,584,IV,492439.5,4,1531933,0.4924395,97897,0.5965453486827993,T120
8,120,7_L06,CIS,571,VII,248317.5,7,1090940,0.2483175,97897,0.5832660857840384,T120
8,120,15_L18,CIS,439,XV,906017.5,15,1091291,0.9060175,97897,0.4484304932735426,T120
8,120,4_L01,TRANS,404,IV,8248,4,1531933,0.008248,97897,0.41267863162303237,T120
8,120,3_L03,CIS,323,III,130512.5,3,316620,0.1305125,97897,0.32993860894613725,T120
8,120,4_L15_2,TRANS,319,IV,1120420.5,4,1531933,1.1204205,97897,0.32585268190036465,T120
8,120,4_L12_2,TRANS,242,IV,914120,4,1531933,0.91412,97897,0.24719858626924215,T120
8,120,15_L17_2,CIS,198,XV,756300,15,1091291,0.7563,97897,0.20225338876574359,T120
8,120,12_L05,TRANS,189,XII,5947,12,1078177,0.005947,97897,0.19306005291275524,T120
8,120,12_L12,TRANS,174,XII,949729,12,1078177,0.949729,97897,0.177737826491108,T120
8,120,7_L09,CIS,172,VII,84569,7,1090940,0.084569,97897,0.1756948629682217,T120
8,120,4_L13,CIS,168,IV,713166.5,4,1531933,0.7131665,97897,0.1716089359224491,T120
8,120,7_L03,CIS,100,VII,425184,7,1090940,0.425184,97897,0.10214817614431494,T120
8,120,3_L04,TRANS,64,III,291487.5,3,316620,0.2914875,97897,0.06537483273236157,T120
8,120,12_L07,TRANS,64,XII,243617,12,1078177,0.243617,97897,0.06537483273236157,T120
8,120,12_L01,TRANS,46,XII,121861,12,1078177,0.121861,97897,0.046988161026384874,T120
8,120,7_L06,TRANS,35,VII,248317.5,7,1090940,0.2483175,97897,0.03575186165051023,T120
8,120,7_L09,TRANS,23,VII,84569,7,1090940,0.084569,97897,0.023494080513192437,T120
8,120,15_L04,CIS,20,XV,240148.5,15,1091291,0.2401485,97897,0.02042963522886299,T120
8,120,3_L03,TRANS,19,III,130512.5,3,316620,0.1305125,97897,0.01940815346741984,T120
8,120,4_L13,TRANS,10,IV,713166.5,4,1531933,0.7131665,97897,0.010214817614431495,T120
8,120,15_L18,TRANS,8,XV,906017.5,15,1091291,0.9060175,97897,0.008171854091545196,T120
8,120,15_L17_2,TRANS,7,XV,756300,15,1091291,0.7563,97897,0.007150372330102046,T120
8,120,7_L03,TRANS,4,VII,425184,7,1090940,0.425184,97897,0.004085927045772598,T120
8,120,15_L04,TRANS,4,XV,240148.5,15,1091291,0.2401485,97897,0.004085927045772598,T120
