batch,time_point,locus_id,pair_class,count_t,chrom,midpoint,y,chr_len,pos_mb,total_by_class_time,pct_of_class_time,time_label
4,0,12_L01,TRANS,400,XII,121861,12,1078177,0.121861,18286,2.1874658208465494,T0
4,0,4_L15_2,TRANS,378,IV,1120420.5,4,1531933,1.1204205,18286,2.067155200699989,T0
4,0,7_L06,TRANS,298,VII,248317.5,7,1090940,0.2483175,18286,1.6296620365306793,T0
4,0,3_L03,TRANS,251,III,130512.5,3,316620,0.1305125,18286,1.3726348025812096,T0
4,0,15_L18,TRANS,110,XV,906017.5,15,1091291,0.9060175,18286,0.6015531007328011,T0
4,0,15_L04,TRANS,20,XV,240148.5,15,1091291,0.2401485,18286,0.10937329104232746,T0
4,120,3_L04,CIS,118932,III,291487.5,3,316620,0.2914875,685272,17.355444261548698,T120
4,120,4_L10_2,CIS,52659,IV,492439.5,4,1531933,0.4924395,685272,7.6843939340874865,T120
4,120,3_L02,CIS,51606,III,37725.5,3,316620,0.0377255,685272,7.530732322347914,T120
4,120,7_L06,CIS,40193,VII,248317.5,7,1090940,0.2483175,685272,5.865262260824899,T120
4,120,4_L12_2,CIS,39176,IV,914120,4,1531933,0.91412,685272,5.716854037520868,T120
4,120,15_L01,CIS,33348,XV,321702.5,15,1091291,0.3217025,685272,4.8663888207894095,T120
4,120,15_L17_2,CIS,32328,XV,756300,15,1091291,0.7563,685272,4.71754281511575,T120
4,120,12_L05,CIS,31343,XII,5947,12,1078177,0.005947,685272,4.573804270421088,T120
4,120,12_L12,CIS,29733,XII,949729,12,1078177,0.949729,685272,4.338861065387174,T120
4,120,4_L15_2,CIS,29640,IV,1120420.5,4,1531933,1.1204205,685272,4.325289811928694,T120
4,120,4_L03,CIS,29435,IV,130204,4,1531933,0.130204,685272,4.295374683337419,T120
4,120,4_L06_2,CIS,25982,IV,245056.5,4,1531933,0.2450565,685272,3.791487175895119,T120
4,120,7_L09,CIS,24621,VII,84569,7,1090940,0.084569,685272,3.5928799075403637,T120
4,120,12_L07,CIS,24542,XII,243617,12,1078177,0.243617,685272,3.5813516384734823,T120
4,120,4_L01,CIS,24400,IV,8248,4,1531933,0.008248,685272,3.560629939644404,T120
4,120,7_L03,CIS,24008,VII,425184,7,1090940,0.425184,685272,3.503426376679625,T120
4,120,15_L15,CIS,21709,XV,538556,15,1091291,0.538556,685272,3.16793915408772,T120
4,120,12_L01,CIS,20467,XII,121861,12,1078177,0.121861,685272,2.986697253061558,T120
4,120,4_L13,CIS,17661,IV,713166.5,4,1531933,0.7131665,685272,2.5772248100024515,T120
4,120,3_L03,CIS,7565,III,130512.5,3,316620,0.1305125,685272,1.103941208746308,T120
4,120,15_L18,CIS,5854,XV,906017.5,15,1091291,0.9060175,685272,0.8542593306015713,T120
4,120,15_L04,CIS,70,XV,240148.5,15,1091291,0.2401485,685272,0.010214921957996241,T120
4,120,3_L04,TRANS,5172,III,291487.5,3,316620,0.2914875,39655,13.04249148909343,T120
4,120,4_L01,TRANS,4982,IV,8248,4,1531933,0.008248,39655,12.563358971125961,T120
4,120,4_L12_2,TRANS,3352,IV,914120,4,1531933,0.91412,39655,8.452906316983986,T120
4,120,7_L06,TRANS,3207,VII,248317.5,7,1090940,0.2483175,39655,8.08725255327197,T120
4,120,12_L12,TRANS,3133,XII,949729,12,1078177,0.949729,39655,7.900643046274114,T120
4,120,4_L06_2,TRANS,2808,IV,245056.5,4,1531933,0.2450565,39655,7.081074265540285,T120
4,120,4_L03,TRANS,1995,IV,130204,4,1531933,0.130204,39655,5.030891438658429,T120
4,120,15_L17_2,TRANS,1917,XV,756300,15,1091291,0.7563,39655,4.83419493128231,T120
4,120,15_L01,TRANS,1911,XV,321702.5,15,1091291,0.3217025,39655,4.819064430714916,T120
4,120,3_L02,TRANS,1864,III,37725.5,3,316620,0.0377255,39655,4.700542176270331,T120
4,120,15_L15,TRANS,1352,XV,538556,15,1091291,0.538556,39655,3.40940612785273,T120
4,120,4_L10_2,TRANS,1327,IV,492439.5,4,1531933,0.4924395,39655,3.346362375488589,T120
4,120,12_L01,TRANS,1201,XII,121861,12,1078177,0.121861,39655,3.0286218635733198,T120
4,120,4_L15_2,TRANS,1193,IV,1120420.5,4,1531933,1.1204205,39655,3.0084478628167948,T120
4,120,7_L09,TRANS,1148,VII,84569,7,1090940,0.084569,39655,2.8949691085613414,T120
4,120,7_L03,TRANS,928,VII,425184,7,1090940,0.425184,39655,2.3401840877569033,T120
4,120,4_L13,TRANS,714,IV,713166.5,4,1531933,0.7131665,39655,1.8005295675198587,T120
4,120,12_L07,TRANS,650,XII,243617,12,1078177,0.243617,39655,1.6391375614676587,T120
4,120,12_L05,TRANS,571,XII,5947,12,1078177,0.005947,39655,1.439919303996974,T120
4,120,3_L03,TRANS,168,III,130512.5,3,316620,0.1305125,39655,0.4236540158870256,T120
4,120,15_L18,TRANS,43,XV,906017.5,15,1091291,0.9060175,39655,0.10843525406632203,T120
4,120,15_L04,TRANS,19,XV,240148.5,15,1091291,0.2401485,39655,0.04791325179674694,T120
6,0,3_L04,CIS,53103,III,291487.5,3,316620,0.2914875,202216,26.260533291134234,T0
6,0,12_L05,CIS,16430,XII,5947,12,1078177,0.005947,202216,8.124975273964473,T0
6,0,3_L02,CIS,13000,III,37725.5,3,316620,0.0377255,202216,6.42876923685564,T0
6,0,4_L12_2,CIS,9028,IV,914120,4,1531933,0.91412,202216,4.464532974640978,T0
6,0,15_L17_2,CIS,8871,XV,756300,15,1091291,0.7563,202216,4.386893223088183,T0
6,0,15_L01,CIS,8153,XV,321702.5,15,1091291,0.3217025,202216,4.0318273529295405,T0
6,0,4_L03,CIS,8115,IV,130204,4,1531933,0.130204,202216,4.013035565929501,T0
6,0,7_L09,CIS,7786,VII,84569,7,1090940,0.084569,202216,3.850338252166001,T0
6,0,4_L01,CIS,7667,IV,8248,4,1531933,0.008248,202216,3.7914902876132452,T0
6,0,4_L10_2,CIS,7586,IV,492439.5,4,1531933,0.4924395,202216,3.7514341100605293,T0
6,0,4_L06_2,CIS,7577,IV,245056.5,4,1531933,0.2450565,202216,3.746983423665783,T0
6,0,4_L15_2,CIS,7354,IV,1120420.5,4,1531933,1.1204205,202216,3.6367053052181824,T0
6,0,12_L01,CIS,7225,XII,121861,12,1078177,0.121861,202216,3.5729121335601537,T0
6,0,15_L15,CIS,6810,XV,538556,15,1091291,0.538556,202216,3.3676860386913003,T0
6,0,12_L07,CIS,6293,XII,243617,12,1078177,0.243617,202216,3.112018831348657,T0
6,0,12_L12,CIS,5948,XII,949729,12,1078177,0.949729,202216,2.9414091862167187,T0
6,0,7_L06,CIS,5865,VII,248317.5,7,1090940,0.2483175,202216,2.900363967242948,T0
6,0,3_L03,CIS,5431,III,130512.5,3,316620,0.1305125,202216,2.6857419788740753,T0
6,0,4_L13,CIS,4764,IV,713166.5,4,1531933,0.7131665,202216,2.3558966649523283,T0
6,0,7_L03,CIS,3925,VII,425184,7,1090940,0.425184,202216,1.9409937888198758,T0
6,0,15_L18,CIS,1264,XV,906017.5,15,1091291,0.9060175,202216,0.6250741781065791,T0
6,0,15_L04,CIS,21,XV,240148.5,15,1091291,0.2401485,202216,0.010384934921074495,T0
6,0,3_L04,TRANS,2663,III,291487.5,3,316620,0.2914875,10375,25.667469879518073,T0
6,0,3_L02,TRANS,1028,III,37725.5,3,316620,0.0377255,10375,9.90843373493976,T0
6,0,12_L12,TRANS,837,XII,949729,12,1078177,0.949729,10375,8.067469879518072,T0
6,0,7_L09,TRANS,578,VII,84569,7,1090940,0.084569,10375,5.571084337349397,T0
6,0,4_L06_2,TRANS,571,IV,245056.5,4,1531933,0.2450565,10375,5.5036144578313255,T0
6,0,15_L17_2,TRANS,569,XV,756300,15,1091291,0.7563,10375,5.48433734939759,T0
6,0,4_L01,TRANS,466,IV,8248,4,1531933,0.008248,10375,4.491566265060241,T0
6,0,15_L15,TRANS,449,XV,538556,15,1091291,0.538556,10375,4.327710843373494,T0
6,0,4_L13,TRANS,428,IV,713166.5,4,1531933,0.7131665,10375,4.125301204819277,T0
6,0,12_L07,TRANS,360,XII,243617,12,1078177,0.243617,10375,3.4698795180722892,T0
6,0,4_L03,TRANS,318,IV,130204,4,1531933,0.130204,10375,3.0650602409638554,T0
6,0,7_L03,TRANS,318,VII,425184,7,1090940,0.425184,10375,3.0650602409638554,T0
6,0,4_L15_2,TRANS,306,IV,1120420.5,4,1531933,1.1204205,10375,2.9493975903614458,T0
6,0,12_L01,TRANS,304,XII,121861,12,1078177,0.121861,10375,2.9301204819277107,T0
6,0,15_L01,TRANS,284,XV,321702.5,15,1091291,0.3217025,10375,2.7373493975903616,T0
6,0,12_L05,TRANS,262,XII,5947,12,1078177,0.005947,10375,2.525301204819277,T0
6,0,3_L03,TRANS,215,III,130512.5,3,316620,0.1305125,10375,2.072289156626506,T0
6,0,4_L10_2,TRANS,146,IV,492439.5,4,1531933,0.4924395,10375,1.4072289156626505,T0
6,0,7_L06,TRANS,118,VII,248317.5,7,1090940,0.2483175,10375,1.1373493975903615,T0
6,0,4_L12_2,TRANS,111,IV,914120,4,1531933,0.91412,10375,1.069879518072289,T0
6,0,15_L18,TRANS,39,XV,906017.5,15,1091291,0.9060175,10375,0.3759036144578313,T0
6,0,15_L04,TRANS,5,XV,240148.5,15,1091291,0.2401485,10375,0.04819277108433735,T0
6,120,3_L04,CIS,52199,III,291487.5,3,316620,0.2914875,143112,36.47422997372687,T120
6,120,12_L05,CIS,14670,XII,5947,12,1078177,0.005947,143112,10.25071272849237,T120
6,120,4_L12_2,CIS,7222,IV,914120,4,1531933,0.91412,143112,5.046397227346414,T120
6,120,15_L01,CIS,7163,XV,321702.5,15,1091291,0.3217025,143112,5.005170775336799,T120
6,120,4_L10_2,CIS,6551,IV,492439.5,4,1531933,0.4924395,143112,4.577533679915032,T120
6,120,3_L02,CIS,6307,III,37725.5,3,316620,0.0377255,143112,4.407037844485438,T120
6,120,4_L15_2,CIS,6096,IV,1120420.5,4,1531933,1.1204205,143112,4.259600872044273,T120
6,120,7_L06,CIS,5003,VII,248317.5,7,1090940,0.2483175,143112,3.4958633797305607,T120
6,120,15_L17_2,CIS,4446,XV,756300,15,1091291,0.7563,143112,3.106657722622841,T120
6,120,3_L03,CIS,4250,III,130512.5,3,316620,0.1305125,143112,2.9697020515400525,T120
6,120,4_L06_2,CIS,4013,IV,245056.5,4,1531933,0.2450565,143112,2.8040974900777016,T120
6,120,12_L07,CIS,3956,XII,243617,12,1078177,0.243617,143112,2.76426854491587,T120
6,120,12_L01,CIS,3548,XII,121861,12,1078177,0.121861,143112,2.479177147968025,T120
6,120,4_L01,CIS,3547,IV,8248,4,1531933,0.008248,143112,2.4784783945441333,T120
6,120,15_L15,CIS,2966,XV,538556,15,1091291,0.538556,143112,2.0725026552630106,T120
6,120,12_L12,CIS,2612,XII,949729,12,1078177,0.949729,143112,1.8251439432053218,T120
6,120,4_L13,CIS,2599,IV,713166.5,4,1531933,0.7131665,143112,1.8160601486947285,T120
6,120,7_L09,CIS,2124,VII,84569,7,1090940,0.084569,143112,1.4841522723461344,T120
6,120,7_L03,CIS,1683,VII,425184,7,1090940,0.425184,143112,1.176002012409861,T120
6,120,4_L03,CIS,1557,IV,130204,4,1531933,0.130204,143112,1.087959080999497,T120
6,120,15_L18,CIS,566,XV,906017.5,15,1091291,0.9060175,143112,0.3954944379227458,T120
6,120,15_L04,CIS,34,XV,240148.5,15,1091291,0.2401485,143112,0.02375761641232042,T120
6,120,3_L04,TRANS,3709,III,291487.5,3,316620,0.2914875,11488,32.285863509749305,T120
6,120,4_L12_2,TRANS,1288,IV,914120,4,1531933,0.91412,11488,11.211699164345404,T120
6,120,15_L01,TRANS,974,XV,321702.5,15,1091291,0.3217025,11488,8.47841225626741,T120
6,120,4_L15_2,TRANS,852,IV,1120420.5,4,1531933,1.1204205,11488,7.4164345403899725,T120
6,120,3_L03,TRANS,814,III,130512.5,3,316620,0.1305125,11488,7.085654596100278,T120
6,120,4_L10_2,TRANS,607,IV,492439.5,4,1531933,0.4924395,11488,5.283774373259053,T120
6,120,15_L17_2,TRANS,473,XV,756300,15,1091291,0.7563,11488,4.117339832869081,T120
6,120,4_L13,TRANS,471,IV,713166.5,4,1531933,0.7131665,11488,4.099930362116992,T120
6,120,12_L05,TRANS,385,XII,5947,12,1078177,0.005947,11488,3.3513231197771587,T120
6,120,7_L06,TRANS,325,VII,248317.5,7,1090940,0.2483175,11488,2.8290389972144845,T120
6,120,7_L09,TRANS,292,VII,84569,7,1090940,0.084569,11488,2.5417827298050137,T120
6,120,12_L01,TRANS,206,XII,121861,12,1078177,0.121861,11488,1.793175487465181,T120
6,120,12_L12,TRANS,194,XII,949729,12,1078177,0.949729,11488,1.6887186629526463,T120
6,120,12_L07,TRANS,189,XII,243617,12,1078177,0.243617,11488,1.6451949860724233,T120
6,120,15_L15,TRANS,169,XV,538556,15,1091291,0.538556,11488,1.4711002785515321,T120
6,120,7_L03,TRANS,154,VII,425184,7,1090940,0.425184,11488,1.3405292479108635,T120
6,120,3_L02,TRANS,130,III,37725.5,3,316620,0.0377255,11488,1.1316155988857939,T120
6,120,4_L06_2,TRANS,105,IV,245056.5,4,1531933,0.2450565,11488,0.9139972144846796,T120
6,120,4_L01,TRANS,87,IV,8248,4,1531933,0.008248,11488,0.7573119777158774,T120
6,120,4_L03,TRANS,59,IV,130204,4,1531933,0.130204,11488,0.5135793871866295,T120
6,120,15_L18,TRANS,4,XV,906017.5,15,1091291,0.9060175,11488,0.034818941504178275,T120
6,120,15_L04,TRANS,1,XV,240148.5,15,1091291,0.2401485,11488,0.008704735376044569,T120
8,0,3_L04,CIS,18031,III,291487.5,3,316620,0.2914875,149616,12.05151855416533,T0
8,0,4_L03,CIS,11631,IV,130204,4,1531933,0.130204,149616,7.7739011870388195,T0
8,0,15_L01,CIS,11406,XV,321702.5,15,1091291,0.3217025,149616,7.623516201475778,T0
8,0,3_L02,CIS,11179,III,37725.5,3,316620,0.0377255,149616,7.471794460485509,T0
8,0,7_L06,CIS,9969,VII,248317.5,7,1090940,0.2483175,149616,6.663057427013154,T0
8,0,12_L12,CIS,9546,XII,949729,12,1078177,0.949729,149616,6.380333654154636,T0
8,0,4_L10_2,CIS,7176,IV,492439.5,4,1531933,0.4924395,149616,4.7962784728906,T0
8,0,12_L01,CIS,7155,XII,121861,12,1078177,0.121861,149616,4.782242540904716,T0
8,0,7_L09,CIS,7128,VII,84569,7,1090940,0.084569,149616,4.764196342637151,T0
8,0,3_L03,CIS,6951,III,130512.5,3,316620,0.1305125,149616,4.645893487327559,T0
8,0,7_L03,CIS,6351,VII,425184,7,1090940,0.425184,149616,4.2448668591594485,T0
8,0,4_L01,CIS,6025,IV,8248,4,1531933,0.008248,149616,4.026975724521441,T0
8,0,4_L12_2,CIS,5884,IV,914120,4,1531933,0.91412,149616,3.9327344669019357,T0
8,0,4_L06_2,CIS,5507,IV,245056.5,4,1531933,0.2450565,149616,3.6807560688696395,T0
8,0,4_L13,CIS,5237,IV,713166.5,4,1531933,0.7131665,149616,3.50029408619399,T0
8,0,12_L07,CIS,4925,XII,243617,12,1078177,0.243617,149616,3.2917602395465724,T0
8,0,15_L17_2,CIS,4079,XV,756300,15,1091291,0.7563,149616,2.726312693829537,T0
8,0,4_L15_2,CIS,3975,IV,1120420.5,4,1531933,1.1204205,149616,2.6568014116137313,T0
8,0,15_L15,CIS,3935,XV,538556,15,1091291,0.538556,149616,2.6300663030691904,T0
8,0,12_L05,CIS,2998,XII,5947,12,1078177,0.005947,149616,2.0037963854133247,T0
8,0,15_L18,CIS,507,XV,906017.5,15,1091291,0.9060175,149616,0.33886750080205325,T0
8,0,15_L04,CIS,21,XV,240148.5,15,1091291,0.2401485,149616,0.014035931985883862,T0
8,0,12_L12,TRANS,3499,XII,949729,12,1078177,0.949729,12923,27.075756403311924,T0
8,0,3_L04,TRANS,1642,III,291487.5,3,316620,0.2914875,12923,12.706028012071501,T0
8,0,3_L02,TRANS,1301,III,37725.5,3,316620,0.0377255,12923,10.067321829296603,T0
8,0,4_L13,TRANS,844,IV,713166.5,4,1531933,0.7131665,12923,6.530991255900333,T0
8,0,7_L09,TRANS,687,VII,84569,7,1090940,0.084569,12923,5.316103072042096,T0
8,0,15_L01,TRANS,680,XV,321702.5,15,1091291,0.3217025,12923,5.261936082952874,T0
8,0,7_L03,TRANS,603,VII,425184,7,1090940,0.425184,12923,4.666099202971446,T0
8,0,12_L07,TRANS,600,XII,243617,12,1078177,0.243617,12923,4.642884779076066,T0
8,0,4_L03,TRANS,367,IV,130204,4,1531933,0.130204,12923,2.8398978565348605,T0
8,0,15_L15,TRANS,329,XV,538556,15,1091291,0.538556,12923,2.545848487193376,T0
8,0,7_L06,TRANS,314,VII,248317.5,7,1090940,0.2483175,12923,2.4297763677164745,T0
8,0,3_L03,TRANS,296,III,130512.5,3,316620,0.1305125,12923,2.2904898243441925,T0
8,0,4_L06_2,TRANS,280,IV,245056.5,4,1531933,0.2450565,12923,2.166679563568831,T0
8,0,4_L10_2,TRANS,268,IV,492439.5,4,1531933,0.4924395,12923,2.0738218679873093,T0
8,0,4_L12_2,TRANS,249,IV,914120,4,1531933,0.91412,12923,1.9267971833165674,T0
8,0,15_L17_2,TRANS,212,XV,756300,15,1091291,0.7563,12923,1.6404859552735434,T0
8,0,4_L01,TRANS,207,IV,8248,4,1531933,0.008248,12923,1.6017952487812428,T0
8,0,4_L15_2,TRANS,195,IV,1120420.5,4,1531933,1.1204205,12923,1.5089375531997213,T0
8,0,12_L05,TRANS,178,XII,5947,12,1078177,0.005947,12923,1.3773891511258995,T0
8,0,12_L01,TRANS,164,XII,121861,12,1078177,0.121861,12923,1.269055172947458,T0
8,0,15_L04,TRANS,4,XV,240148.5,15,1091291,0.2401485,12923,0.030952565193840438,T0
8,0,15_L18,TRANS,4,XV,906017.5,15,1091291,0.9060175,12923,0.030952565193840438,T0
8,120,3_L02,CIS,19525,III,37725.5,3,316620,0.0377255,90308,21.620454444788944,T120
8,120,4_L12_2,CIS,9932,IV,914120,4,1531933,0.91412,90308,10.997918235372282,T120
8,120,4_L03,CIS,9900,IV,130204,4,1531933,0.130204,90308,10.962483943836649,T120
8,120,15_L01,CIS,7690,XV,321702.5,15,1091291,0.3217025,90308,8.515303184656952,T120
8,120,15_L15,CIS,7147,XV,538556,15,1091291,0.538556,90308,7.914027550161669,T120
8,120,4_L10_2,CIS,7000,IV,492439.5,4,1531933,0.4924395,90308,7.751251273419852,T120
8,120,4_L06_2,CIS,6796,IV,245056.5,4,1531933,0.2450565,90308,7.525357664880188,T120
8,120,12_L05,CIS,6311,XII,5947,12,1078177,0.005947,90308,6.988306683793241,T120
8,120,4_L01,CIS,6149,IV,8248,4,1531933,0.008248,90308,6.808920582894096,T120
8,120,4_L15_2,CIS,4637,IV,1120420.5,4,1531933,1.1204205,90308,5.1346503078354075,T120
8,120,12_L01,CIS,973,XII,121861,12,1078177,0.121861,90308,1.0774239270053594,T120
8,120,12_L12,CIS,971,XII,949729,12,1078177,0.949729,90308,1.0752092837843823,T120
8,120,3_L04,CIS,643,III,291487.5,3,316620,0.2914875,90308,0.7120077955441378,T120
8,120,12_L07,CIS,643,XII,243617,12,1078177,0.243617,90308,0.7120077955441378,T120
8,120,7_L06,CIS,571,VII,248317.5,7,1090940,0.2483175,90308,0.6322806395889622,T120
8,120,15_L18,CIS,439,XV,906017.5,15,1091291,0.9060175,90308,0.48611418700447356,T120
8,120,3_L03,CIS,323,III,130512.5,3,316620,0.1305125,90308,0.35766488018780174,T120
8,120,15_L17_2,CIS,198,XV,756300,15,1091291,0.7563,90308,0.21924967887673297,T120
8,120,7_L09,CIS,172,VII,84569,7,1090940,0.084569,90308,0.19045931700403065,T120
8,120,4_L13,CIS,168,IV,713166.5,4,1531933,0.7131665,90308,0.18603003056207645,T120
8,120,7_L03,CIS,100,VII,425184,7,1090940,0.425184,90308,0.11073216104885503,T120
8,120,15_L04,CIS,20,XV,240148.5,15,1091291,0.2401485,90308,0.022146432209771007,T120
8,120,3_L02,TRANS,1380,III,37725.5,3,316620,0.0377255,7589,18.184213993938595,T120
8,120,4_L03,TRANS,1368,IV,130204,4,1531933,0.130204,7589,18.026090393991304,T120
8,120,15_L15,TRANS,962,XV,538556,15,1091291,0.538556,7589,12.676241929107919,T120
8,120,15_L01,TRANS,930,XV,321702.5,15,1091291,0.3217025,7589,12.254578995915141,T120
8,120,4_L06_2,TRANS,753,IV,245056.5,4,1531933,0.2450565,7589,9.922255896692581,T120
8,120,4_L10_2,TRANS,584,IV,492439.5,4,1531933,0.4924395,7589,7.695348530768217,T120
8,120,4_L01,TRANS,404,IV,8248,4,1531933,0.008248,7589,5.323494531558835,T120
8,120,4_L15_2,TRANS,319,IV,1120420.5,4,1531933,1.1204205,7589,4.203452365265516,T120
8,120,4_L12_2,TRANS,242,IV,914120,4,1531933,0.91412,7589,3.1888259322703916,T120
8,120,12_L05,TRANS,189,XII,5947,12,1078177,0.005947,7589,2.4904466991698513,T120
8,120,12_L12,TRANS,174,XII,949729,12,1078177,0.949729,7589,2.292792199235736,T120
8,120,3_L04,TRANS,64,III,291487.5,3,316620,0.2914875,7589,0.8433258663855581,T120
8,120,12_L07,TRANS,64,XII,243617,12,1078177,0.243617,7589,0.8433258663855581,T120
8,120,12_L01,TRANS,46,XII,121861,12,1078177,0.121861,7589,0.6061404664646198,T120
8,120,7_L06,TRANS,35,VII,248317.5,7,1090940,0.2483175,7589,0.46119383317960205,T120
8,120,7_L09,TRANS,23,VII,84569,7,1090940,0.084569,7589,0.3030702332323099,T120
8,120,3_L03,TRANS,19,III,130512.5,3,316620,0.1305125,7589,0.25036236658321254,T120
8,120,4_L13,TRANS,10,IV,713166.5,4,1531933,0.7131665,7589,0.13176966662274345,T120
8,120,15_L18,TRANS,8,XV,906017.5,15,1091291,0.9060175,7589,0.10541573329819476,T120
8,120,15_L17_2,TRANS,7,XV,756300,15,1091291,0.7563,7589,0.09223876663592041,T120
8,120,7_L03,TRANS,4,VII,425184,7,1090940,0.425184,7589,0.05270786664909738,T120
8,120,15_L04,TRANS,4,XV,240148.5,15,1091291,0.2401485,7589,0.05270786664909738,T120
